seconds,small_cars,large_cars,car_flow,car_density,car_speed
289,5.52,0.36,1,0.1559999999999999,6.410256410256415
290,5.84,0.76,5,0.184,27.17391304347826
291,3.72,0.92,1,0.139,7.194244604316546
292,2.64,0.68,3,0.1,30.0
293,1.2,1.32,4,0.096,41.666666666666664
294,4.24,0.48,2,0.13,15.384615384615383
295,6.44,0.44,1,0.183,5.46448087431694
296,2.36,1.48,1,0.133,7.518796992481203
297,4.0,1.84,5,0.192,26.041666666666668
298,5.88,0.52,5,0.173,28.901734104046245
299,6.8,0.0,1,0.1699999999999999,5.882352941176474
300,6.96,0.36,9,0.192,46.875
301,6.04,0.4,8,0.1709999999999999,46.78362573099418
302,5.84,0.04,1,0.148,6.756756756756757
303,5.96,0.24,6,0.1609999999999999,37.26708074534164
304,6.48,1.08,1,0.216,4.62962962962963
305,2.6,1.6,13,0.145,89.65517241379311
306,2.76,1.4,1,0.1389999999999999,7.194244604316552
307,4.08,0.2,6,0.112,53.57142857142857
308,3.04,0.68,3,0.11,27.272727272727273
309,0.88,1.0,6,0.072,83.33333333333334
310,2.16,0.52,4,0.08,50.0
311,4.56,0.6,3,0.144,20.833333333333336
312,7.2,0.56,8,0.208,38.46153846153846
313,6.84,0.88,5,0.215,23.25581395348837
314,4.96,1.08,10,0.178,56.17977528089888
315,3.4,1.32,3,0.151,19.867549668874172
316,5.72,1.12,3,0.199,15.07537688442211
317,8.44,0.28,7,0.225,31.11111111111111
318,7.6,0.4,7,0.21,33.333333333333336
319,7.12,0.0,4,0.178,22.471910112359552
320,5.6,0.88,6,0.184,32.608695652173914
321,3.84,1.16,16,0.154,103.8961038961039
322,2.32,0.64,5,0.09,55.55555555555556
323,6.96,0.12,5,0.18,27.77777777777778
324,4.96,0.88,4,0.1679999999999999,23.809523809523824
325,7.84,0.04,5,0.198,25.252525252525253
326,7.2,0.0,5,0.18,27.77777777777778
327,7.44,0.12,7,0.192,36.458333333333336
328,7.52,0.0,2,0.188,10.638297872340425
329,5.4,0.4,7,0.155,45.16129032258065
330,4.64,0.76,10,0.154,64.93506493506493
331,3.84,1.24,9,0.158,56.962025316455694
332,5.52,0.64,7,0.1699999999999999,41.17647058823532
333,7.32,0.2,8,0.193,41.45077720207254
334,7.04,0.64,3,0.208,14.423076923076923
335,4.88,1.04,8,0.174,45.97701149425288
336,3.36,0.2,3,0.094,31.914893617021278
337,5.68,0.64,5,0.174,28.73563218390805
338,7.0,0.68,5,0.209,23.923444976076556
339,8.24,0.04,1,0.208,4.8076923076923075
340,7.92,0.28,2,0.212,9.433962264150944
341,6.96,0.12,6,0.18,33.333333333333336
342,6.52,0.28,9,0.177,50.847457627118644
343,7.0,0.32,5,0.191,26.17801047120419
344,7.48,0.0,1,0.187,5.347593582887701
345,6.0,0.36,7,0.1679999999999999,41.66666666666669
346,6.12,0.28,2,0.1669999999999999,11.976047904191624
347,6.72,0.0,5,0.1679999999999999,29.76190476190478
348,6.4,0.08,5,0.164,30.48780487804878
349,6.68,0.12,4,0.173,23.121387283236995
350,6.68,0.12,7,0.173,40.46242774566474
351,5.88,0.72,1,0.183,5.46448087431694
352,5.52,0.48,1,0.1619999999999999,6.172839506172844
353,2.68,0.6,3,0.097,30.927835051546392
354,5.08,0.28,6,0.141,42.55319148936171
355,4.08,1.56,6,0.18,33.333333333333336
356,4.52,1.52,4,0.189,21.164021164021165
357,7.4,0.16,6,0.193,31.088082901554404
358,7.52,0.04,5,0.19,26.31578947368421
359,6.8,0.0,5,0.1699999999999999,29.41176470588237
360,6.48,0.36,4,0.18,22.22222222222222
361,6.96,0.2,4,0.184,21.73913043478261
362,6.92,0.04,7,0.175,40.0
363,6.64,0.04,5,0.1679999999999999,29.76190476190478
364,6.72,0.36,9,0.186,48.38709677419355
365,6.4,0.6,4,0.19,21.05263157894737
366,6.96,0.4,6,0.194,30.927835051546392
367,5.92,0.0,5,0.148,33.78378378378378
368,7.08,0.04,4,0.179,22.3463687150838
369,6.68,0.16,7,0.175,40.0
370,6.16,0.08,6,0.158,37.974683544303794
371,4.92,0.56,8,0.151,52.980132450331126
372,4.52,0.96,4,0.1609999999999999,24.844720496894425
373,6.12,0.04,5,0.155,32.25806451612903
374,6.24,0.2,6,0.166,36.14457831325301
375,7.44,0.32,4,0.202,19.801980198019802
376,4.84,0.64,3,0.153,19.607843137254903
377,4.4,0.52,6,0.136,44.11764705882353
378,0.84,1.2,3,0.0809999999999999,37.03703703703708
379,4.68,0.24,5,0.129,38.75968992248062
380,6.04,0.32,3,0.1669999999999999,17.964071856287436
381,3.44,1.44,8,0.158,50.63291139240506
382,5.08,0.96,5,0.175,28.571428571428573
383,2.32,0.8,3,0.098,30.612244897959183
384,6.04,0.96,4,0.199,20.100502512562812
385,3.72,1.04,1,0.145,6.8965517241379315
386,4.6,0.72,10,0.1509999999999999,66.22516556291394
387,4.72,0.8,4,0.158,25.31645569620253
388,5.36,1.28,8,0.198,40.4040404040404
389,6.84,0.2,4,0.181,22.099447513812155
390,7.56,0.08,7,0.193,36.26943005181347
391,7.0,0.2,7,0.185,37.83783783783784
392,6.04,0.88,5,0.195,25.64102564102564
393,4.8,1.4,7,0.19,36.8421052631579
394,4.32,0.92,2,0.154,12.987012987012987
395,6.88,0.32,7,0.188,37.234042553191486
396,7.6,0.0,5,0.19,26.31578947368421
397,6.32,0.8,11,0.198,55.55555555555555
398,5.52,0.84,6,0.18,33.333333333333336
399,6.0,0.28,3,0.164,18.29268292682927
400,7.36,0.16,7,0.192,36.458333333333336
401,7.04,0.44,3,0.198,15.15151515151515
402,3.56,0.92,4,0.135,29.629629629629626
403,0.64,1.04,0,0.068,0.0
404,6.12,0.88,2,0.197,10.152284263959391
405,4.2,0.92,2,0.151,13.245033112582782
406,0.56,1.6,1,0.094,10.638297872340425
407,3.64,0.72,6,0.127,47.24409448818898
408,4.0,1.4,2,0.1699999999999999,11.764705882352947
409,4.44,1.0,11,0.161,68.32298136645963
410,3.48,1.0,5,0.137,36.4963503649635
411,2.8,0.64,4,0.102,39.21568627450981
412,3.08,1.16,3,0.135,22.22222222222222
413,4.8,0.88,7,0.1639999999999999,42.68292682926832
